jméno,četnost,věk,pohlaví,svátek,původ
Jiří,296090,49,m,24.4,řecký
Jan,293938,40,m,24.6. a 6.7,hebrejský
Petr,272135,42,m,22.2. a 29.6,řecký
Jana,264944,50,ž,24.5,hebrejský
Marie,260526,65,ž,12.9,hebrejský
Josef,211317,57,m,19.3,hebrejský
Pavel,200997,46,m,29.6,latinský
Martin,188380,33,m,11.11,latinský
Tomáš,181926,30,m,7.3,aramejský
Jaroslav,172785,55,m,27.4,slovanský
Eva,152463,53,ž,24.12,hebrejský
Miroslav,147753,52,m,6.3,slovanský
Hana,145901,51,ž,15.8,hebrejský
Anna,134819,51,ž,26.7,hebrejský
Zdeněk,126094,54,m,23.1,slovanský
Václav,123927,51,m,28.9,slovanský
Michal,123324,32,m,29.9,hebrejský
František,122910,58,m,4.10,italský
Lenka,118763,40,ž,21.2,neznámý
Kateřina,118127,29,ž,25.11,řecký
Lucie,111937,27,ž,13.12,latinský
Jakub,108013,19,m,25.7,hebrejský
Milan,107458,51,m,18.6,slovanský
Věra,107388,63,ž,8.10,slovanský
Alena,105093,55,ž,13.8,hebrejský
Karel,104072,55,m,4.11,straroněmecký
Lukáš,102982,23,m,18.10,latinský
Petra,102693,35,ž,17.8,řecký
David,101311,25,m,30.12,hebrejský
Veronika,88854,25,ž,7.2,řecký
Jaroslava,84556,63,ž,1.7,slovanský
Vladimír,83762,56,m,23.5,slovanský
Tereza,83692,18,ž,15.10,řecký
Martina,81312,36,ž,17.7,latinský
Michaela,78823,28,ž,19.10,hebrejský
Jitka,78187,51,ž,5.12,hebrejský
Ondřej,76225,22,m,30.11,řecký
Helena,74391,58,ž,18.8,řecký
Ludmila,72750,65,ž,16.9,slovanský
Ladislav,69797,55,m,27.6,slovanský
Zdeňka,69060,61,ž,23.6,slovanský
Ivana,68917,49,ž,4.4,slovanský
Roman,67754,40,m,9.8,latinský
Monika,63857,35,ž,21.5,řecký
Marek,63088,27,m,25.4,latinský
Stanislav,61889,54,m,7.5,slovanský
Eliška,61517,24,ž,5.10,hebrejský
Zuzana,61382,34,ž,11.8,hebrejský
Daniel,60935,23,m,17.12,hebrejský
Markéta,59734,32,ž,13.7,řecký
Jarmila,59666,65,ž,4.2,slovanský
Radek,58589,36,m,21.3,slovanský
Barbora,57201,22,ž,4.12,řecký
Jiřina,55366,64,ž,15.2,řecký
Antonín,53794,51,m,13.6,latinský
Marcela,53654,50,ž,20.4,latinský
Vojtěch,52802,22,m,23.4,slovanský
Kristýna,51422,18,ž,24.7,řecký
Dana,50781,51,ž,11.12,hebrejský
Dagmar,50646,55,ž,20.12,skandinávský
Filip,50464,17,m,26.5,řecký
Adam,47837,14,m,24.12,hebrejský
Adéla,45156,15,ž,2.9,germánský
Pavla,41774,43,ž,22.6,latinský
Vlasta,41736,68,ž,23.12,slovanský
Andrea,41151,31,ž,26.9,řecký
Miroslava,41151,54,ž,5.4,slovanský
Irena,41054,56,ž,16.4,řecký
Božena,39851,72,ž,11.2,slovanský
Klára,39600,22,ž,12.8,latinský
Libuše,39269,66,ž,10.7,slovanský
Marta,38897,63,ž,29.7,aramejský
Matěj,38519,13,m,24.2,hebrejský
Šárka,38339,37,ž,30.6,slovanský
Nikola,37996,19,ž,20.11,řecký
Karolína,36997,15,ž,14.7,německý
Iveta,36461,41,ž,7.6,německý
Pavlína,35863,37,ž,31.8,latinský
Natálie,33761,11,ž,21.12,řecký
Olga,33669,58,ž,11.7,skandinávský
Dominik,33322,14,m,4.8,latinský
Aleš,33074,38,m,13.4,řecký
Miloslav,32769,60,m,18.12,slovanský
Blanka,31516,54,ž,2.12,latinský
Gabriela,31175,33,ž,8.3,hebrejský
Jaromír,30984,55,m,24.9,slovanský
Patrik,30682,20,m,19.2,latinský
Renata,30617,44,ž,13.10,latinský
Libor,30464,44,m,23.7,latinský
Aneta,29840,17,ž,17.5,hebrejský
Simona,29618,30,ž,12.12,hebrejský
Růžena,28952,69,ž,13.3,slovanský
Radka,26939,38,ž,14.9,slovanský
Daniela,26536,38,ž,9.9,hebrejský
Denisa,26299,23,ž,11.9,řecký
Jindřich,26230,51,m,15.7,německý
Vlastimil,26014,54,m,17.3,slovanský
Iva,26003,46,ž,1.12,slovanský
Miloš,25509,53,m,25.1,slovanský
Zdenka,25416,68,ž,23.6,slovanský
